Maladie;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Symptôme;Contexte;Incidence (cas/an);Prévalence;Antécédents
Infection alimentaire;Diarrhée aïgue (2);Fièvre (1);Douleur abdominale (2/diffuse) ; Nausées (2);Vomissements (2);Sang dans les selles (2);;;;;;Aliments à risque / Cas dans l'entourage;15000;;
Grippe;Malaise général;Fièvre (1);Frissons (1);Fatigue (1);Toux sèche (3);Nez qui coule (5);Mal à la gorge (4);Mal de tête diffus (6);Douleurs articulaires diffuses;Douleurs musculaires diffuses;;Epidémie / Cas dans l'entourage;2500000;;
Hépatite aigue;Coloration jaune (10);Urines foncées (11);Selles décolorées (2);Fièvre (1);Fatigue (1);Douleur abdominale (2/1);;;;;;Rapport sexuel à risque / Voyage / Exposition sang;3500;;
VIH;Fièvre (1);Ganglions (1);Eruption cutanée diffuse (10);Douleurs musculaires diffuses (1);Diarrhée (2);Fatigue (1);;;;;;Rapport sexuel à risque / Exposition sang;7000;;
Hypertension artérielle ;Mal de tête diffus (6);Acouphènes (12);Saignement de nez (5);;;;;;;;;;;31%;
Dyslipidémie;Dépôt jaune pâle palpébral (13);Infiltrat cutané jaunâtre (10);;;;;;;;;;Surpoids;;40%;
Artériopathie oblitérante des membres inférieurs;Douleur membres inférieurs à l'effort (7);Douleurs nocturnes de repos membres inférieurs (7);Impuissance (11);Peau froide (7);;;;;;;;Tabac;180000;;
Insuffisance Veineuse / Varices;Jambes lourdes (7);Crampes (7);Nécessité de mouvement (7);Varices (7);Oedèmes le soir (7);Douleur le long d'un trajet veineux (7);Troubles cutanés (10) (7);;;;;Surpoids / Travail debout / Femme;;41%;
Bronchite aïgue;Toux sèche (3);Toux sèche puis humide (3);Crachats lors de la toux (3);Fièvre (1);;;;;;;;Epidémie / Tabagisme / Rhinopharyngite récente;10000000;;
Pneumopathie aïgue;Toux (3);Difficultés à respirer (3);Douleur thoracique (3);Crachats lors de la toux (3);Fièvre (1);Frissons (1);;;;;;;500000;;
Angor d'effort;Douleur thoracique (3);Impossibilité de respirer lors d'un effort (3);;;;;;;;;;;;1,60%;
Infarctus du myocarde ;Douleur thoracique (3);Angoisse de mort (1);Nausées (2);;;;;;;;;;120000;;
Phlébite ;Douleur mollet (7);Fièvre (1);Mollet gonflé (7);Mollet rouge/chaud (7);;;;;;;;;60000;;
Fibrillation auriculaire;Palpitations (3);Pouls rapide (1);Fatigue (1);;;;;;;;;Age élevé;;1,20%;
Salpingite aïgue;Douleur pelvienne (11);Pertes vaginales sales (11);Saignement vaginal (11);Fièvre (1);Brulûres urinaires (11);Douleur urinaire (11);;;;;;Rapports sexuels à risque / geste gynécologique ;100000;;
Mycose Vaginale;Ecoulement blanchâtre (11);Démangeaisons vaginales (11);Douleur lors des rapports sexuels (11);;;;;;;;;Antiobiotiques récents ;1000000;;
Infection vaginale;Pertes vaginales sales +/-  malodorantes (11);;;;;;;;;;;;;;
Paludisme ;Fièvre (1);Mal de tête diffus (6);Douleurs articulaires diffuses;Douleurs musculaires diffuses;Douleur abdominale (2/diffuse);Nausées (2);Vomissements (2);Diarrhée (2);;;;Retour de voyage;5000;;
Infection urinaire basse (cystite);Brûlures urinaires (11);Douleur urinaire (11);Besoin d'uriner fréquent et urgent (11);Urines Troubles (11);Sang dans les urines(11);;;;;;;Femmes uniquement, si homme: prostatite;900000;;
Pyélonéphrite;Douleur lombaire (12);Signes d'une IU basse;Fièvre (1);;;;;;;;;;;;
Prostatite aïgue;Signes d'une IU basse;Difficultés à uriner (11);Fièvre (1);Douleur pelvienne (11);;;;;;;;;;3%;
Prostatite chronique ;Signes d'une IU basse;Pesanteur pelvienne (11);Poussées de fièvre résolutives (1);;;;;;;;;;;6%;
Hypertrophie bénigne de prostate;Jet urinaire hésitant / haché (11);Nécessité de pousser pour uriner (11);Gouttes d'urines retardataires (11);Sensation de vidange incomplète (11);;;;;;;;;;;
Grossesse;Absence de règles (11);Nausées (2);Humeur labile (1);Test de grossesse positif (11);Seins tendus (3);;;;;;;Rapport sexuel à risque ;;;
Grossesse extra utérine;Signes de grossesse (11);Douleur pelvienne latéralisée (11);Saignement vaginal (11);Test de grossesse positif (11);;;;;;;;Rapport sexuel à risque ;;;
Pathologies annexielles;Douleur pelvienne latéralisée (11);;;;;;;;;;;;;;
Endométriose ;Douleurs pelviennes cycliques (11);Règles non régulières (11);Douleur lors des rapports sexuels (11);Douleur abdominale (2);Infertilité (11);;;;;;;;;;
Syndrôme pré-menstruel;Tension mammaire (3);Douleur pelvienne (11);Humeur labile (1);;;;;;;;;Précède l'apparition des régles ;;;
Syndrôme inter-menstruel;Douleur pelvienne (11);;;;;;;;;;;En milieu de cycle ;;;
Angine;Douleur gorge (4);Fièvre (1);Douleur lors de la déglutition (4);Fatigue (1);;;;;;;;Proche atteint;8000000;;
Sinusite aïgue ;Douleur sinus (5);Obstruction nasale (5);Nez qui coule (5);Fièvre (1);;;;;;;;;;;
Sinusute chronique ;Nez qui coule (5);Obstruction nasale (5);;;;;;;;;;Depuis plus de 3 semaines;;;
Appendicite ;Douleur abdominale (2/7);Fièvre (1);;;;;;;;;;;;;
Diverticulite / Sigmoïdite;Douleur abdominale (2/9);Fièvre (1);Nausées (2);Vomissements (2);Troubles du transit (2);;;;;;;;;;Diverticulose
Syndrôme occlusif;Arrêt des matières et des gaz (2);Vomissements (2);Douleur abdominale (2/diffuse) ;Abdomen gonflé (2);;;;;;;;;;;
Hernie de l'aine;Tuméfaction inguinale (2);;;;;;;;;;;;;;Toux chronique / Constipation / Obésité 
Hernie  étranglée;Tuméfaction inguinale (2);Signes du syndrôme occlusif;;;;;;;;;;;;;
